"";"Mein superdickes Wimmelbuch: Weihnachten.";"Schmid, F. X.";"978-3-8380-0091-6";"PP";"7.99 EUR";"";"35.0";"798 g";" 2. Aufl.;2017;24 S.;m. zahlr. bunten Bild.;315 mm;ab 2 J.;";"210";""
"Janisch, Heinz";"Drei Könige.";"Tyrolia";"978-3-7022-3641-0";"GEB";"14.95 EUR";"";"33.0";"321 g";" 2017;26 S.;m. zahlr. bunten Bild.;265 mm;ab 5 J.;";"210";"Eine Weihnachtsgeschichte"
"Boie, Kirsten";"Alles ganz wunderbar weihnachtlich.";"Oetinger Taschenbuch";"978-3-8415-0432-6";"KT";"7.99 EUR";"";"30.0";"152 g";" 2017;120 S.;190 mm;Englisch Broschur;ab 6 J.;";"230";""
"Thilo";"Der Adventskalender - 1000 Gefahren in der Weihnachtszeit.";"Ravensburger Buchverlag";"978-3-473-52580-5";"KT";"9.99 EUR";"7";"30.0";"246 g";" 2017;192 S.;m. Illustr.;210 mm;ab 10 J.;";"250";"Mit auftrennbaren Seiten"
"Stohner, Friedbert";"Ein Rentier kommt selten allein, 2 Audio-CDs.";"Audiolino";"978-3-86737-279-4";"CD";"14.90 EUR";"";"30.0";"104 g";" 2017;140 x 128 mm;ab 8 J.;";"250";"CD Standard Audio Format, Lesung"
"Stohner, Friedbert";"Ein Rentier kommt selten allein, 2 Audio-CDs.";"Audiolino";"978-3-86737-279-4";"CD";"14.90 EUR";"";"30.0";"104 g";" 2017;140 x 128 mm;ab 8 J.;";"250";"CD Standard Audio Format, Lesung"
"Könnecke, Ole";"Anton und das Weihnachtsgeschenk und acht weitere klingende Bilderbücher, 1 Audio-CD.";"Der Audio Verlag, DAV";"978-3-7424-0176-2";"CD";"7.99 EUR";"";"30.0";"97 g";" 2017;142 x 127 mm;ab 4 J.;";"240";"Szenische Lesungen mit Musik (1 CD), Lesung"
"Nordqvist, Sven";"Die schönsten Familienkonzerte - Das Geheimnis der Weihnachtswichtel, 1 Audio-CD.";"Igel-Records";"978-3-7313-1151-5";"CD";"15.00 EUR";"15";"30.0";"86 g";" 2017;142 x 125 mm;JEWELCASE;Für Kinder u. Jugendliche;";"240";"CD Standard Audio Format, Lesung, Musikdarbietung/Musical/Oper"
"Schmachtl, Andreas H.";"Tilda Apfelkern - Weihnachtszauber überall, 1 Audio-CD.";"Jumbo Neue Medien";"978-3-8337-3786-2";"CD";"12.00 EUR";"";"30.0";"113 g";" 2017;144 x 128 mm;KUNSTSCHU;Für Kinder u. Jugendliche;";"230";"24 Adventskalender-Geschichten und eine Weihnachtsüberraschung, Lesung"
"Robinson, Barbara";"Hilfe, die Herdmanns kommen, 2 Audio-CDs.";"Oetinger Media";"978-3-8373-1007-8";"CD";"12.99 EUR";"12";"30.0";"108 g";" 2017;142 x 127 mm;ab 8 J.;";"250";"Ungekürzte Lesung"
"Lindgren, Astrid";"Pippi plündert den Weihnachtsbaum und eine weitere Geschichte, Audio-CD.";"Oetinger Media";"978-3-8373-1017-7";"CD";"5.00 EUR";"";"30.0";"85 g";" 2017;142 x 127 mm;ab 4 J.;";"210";"Ungekürzte Lesungen mit Geräuschen und Musik"
"Maar, Paul";"Das Sams feiert Weihnachten, 3 Audio-CDs.";"Oetinger Media";"978-3-8373-1006-1";"CD";"15.00 EUR";"";"30.0";"174 g";" 2017;143 x 128 mm;ab 6 J.;";"250";"Ungekürzte Lesung"
"Robinson, Barbara";"Hilfe, die Herdmanns kommen, 2 Audio-CDs.";"Oetinger Media";"978-3-8373-1007-8";"CD";"12.99 EUR";"12";"30.0";"108 g";" 2017;142 x 127 mm;ab 8 J.;";"250";"Ungekürzte Lesung"
"Napp, Daniel";"Dr. Brumm feiert Weihnachten / Dr. Brumm versteht das nicht, 1 Audio-CD.";"Silberfisch";"978-3-86742-358-8";"CD";"9.99 EUR";"";"35.0";"69 g";" 2017;132 x 125 mm;ab 3 J.;";"210";"1 CD, Lesung"
"Steinhöfel, Andreas";"Rico, Oskar und das Vomhimmelhoch, 4 Audio-CDs.";"Silberfisch";"978-3-86742-362-5";"CD";"19.99 EUR";"";"35.0";"133 g";" 2017;144 x 131 mm;ab 8 J.;";"250";"4 CDs, Lesung"
"Baltscheit, Martin";"St. Martin, 1 Audio-CD.";"Uccello";"978-3-937337-79-1";"CD";"12.90 EUR";"";"30.0";"92 g";" 2. Aufl.;2011;144 x 126 mm;ab 5 J.;";"250";"Geschichten, Lieder und Gedichte vom Teilen"
"";"Wieso? Weshalb? Warum? Adventskalender.";"Ravensburger Buchverlag";"978-3-473-44388-8";"KAL";"19.99 EUR";"7";"35.0";"1057 g";" 2017;Je 20 S.;m. zahlr. bunten Bild.;40 x 53 cm;ab 4 J.;";"210";"Mit 24 Büchern"
"";"O du fröhliche!, 1 Audio-CD.";"Igel-Records";"4013077994857";"CD";"9.99 EUR";"";"30.0";"92 g";" 2017;162 x 133 mm;JEWELCASE;Für Kinder u. Jugendliche;";"230";"Weihnachtslieder, Musikdarbietung/Musical/Oper"
"";"Klassik für Kleine - Weihnachten, 1 Audio-CD.";"Igel-Records";"4013077994864";"CD";"12.99 EUR";"";"30.0";"88 g";" 2017;142 x 125 mm;JEWELCASE;Für Kinder u. Jugendliche;";"230";"CD Standard Audio Format, Musikdarbietung/Musical/Oper"
"Various";"Die schönsten Weihnachts- und Winterlieder, 1 Audio-CD.";"Oetinger Media";"4260173788341";"CD";"9.99 EUR";"";"30.0";"90 g";" 2017;143 x 127 mm;ab 3 J.;";"230";"Lieder"
"Bauer, Jutta";"Emma feiert Weihnachten.";"Carlsen";"978-3-551-51529-2";"GEB";"9.99 EUR";"";"35.0";"202 g";" 2017;32 S.;m. zahlr. bunten Bild.;186 mm;von 3-6 J.;";"210";""
